assumed_floor_fraction,below_minimum_effect_fraction,contrast_sd,correct_decisive_fraction,correlation,decision_method,effect_present_fraction,error_model,indeterminate_fraction,threshold_or_confidence,true_delta,truth_state,wrong_decisive_fraction
1.0,0.0,0.5590169943749475,0.94708,-0.25,central_normal_interval,0.94708,correlated_normal,0.05292,0.95,5.0,effect_present,0.0
1.0,0.0,0.5590169943749475,0.999695,-0.25,central_normal_interval,0.999695,correlated_normal,0.000305,0.95,6.0,effect_present,0.0
1.0,0.99997,0.5,0.99997,0.0,central_normal_interval,0.0,correlated_normal,3e-05,0.95,0.0,below_minimum_effect,0.0
1.0,0.97925,0.5,0.97925,0.0,central_normal_interval,0.0,correlated_normal,0.02075,0.95,1.0,below_minimum_effect,0.0
1.0,0.51751,0.5,0.51751,0.0,central_normal_interval,2e-05,correlated_normal,0.48247,0.95,2.0,below_minimum_effect,2e-05
1.0,0.16888,0.5,0.16888,0.0,central_normal_interval,0.00162,correlated_normal,0.8295,0.95,2.5,below_minimum_effect,0.00162
1.0,0.03864,0.5,0.03864,0.0,central_normal_interval,0.01542,correlated_normal,0.94594,0.95,2.9,below_minimum_effect,0.01542
1.0,0.02463,0.5,0.0,0.0,central_normal_interval,0.02485,correlated_normal,0.95052,0.95,3.0,boundary,0.04948
1.0,0.015015,0.5,0.039115,0.0,central_normal_interval,0.039115,correlated_normal,0.94587,0.95,3.1,effect_present,0.015015
1.0,0.001465,0.5,0.16828,0.0,central_normal_interval,0.16828,correlated_normal,0.830255,0.95,3.5,effect_present,0.001465
1.0,2e-05,0.5,0.51529,0.0,central_normal_interval,0.51529,correlated_normal,0.48469,0.95,4.0,effect_present,2e-05
1.0,0.0,0.5,0.979675,0.0,central_normal_interval,0.979675,correlated_normal,0.020325,0.95,5.0,effect_present,0.0
